age,diet,height,location,date,Class
19,mostly vegetarian,68,berkeley,2012-06-28,other
19,strictly vegan,68,canyon country,2012-06-26,other
52,mostly other,71,oakland,2012-06-26,other
21,anything,65,berkeley,2012-06-29,stem
24,strictly anything,72,san rafael,2012-06-27,other
37,strictly anything,69,oakland,2012-06-23,stem
29,mostly anything,70,oakland,2012-06-28,stem
28,mostly anything,67,oakland,2012-06-26,other
29,,72,berkeley,2012-03-27,other
20,,67,san francisco,2012-06-30,other
24,strictly halal,70,san bruno,2011-08-02,other
25,,64,san francisco,2012-06-29,other
27,anything,72,san leandro,2012-06-30,other
26,,68,oakland,2012-06-13,other
21,,74,san francisco,2012-01-12,other
45,anything,72,san francisco,2012-06-29,other
36,,67,san francisco,2012-06-29,other
31,anything,70,san francisco,2012-06-23,other
47,strictly anything,70,oakland,2012-06-29,stem
28,mostly anything,70,san francisco,2012-06-28,other
36,strictly anything,61,san francisco,2012-06-17,other
33,,66,san francisco,2012-06-29,other
37,,72,san francisco,2012-06-24,other
31,strictly other,65,oakland,2011-10-25,other
23,mostly anything,71,mill valley,2012-06-28,other
36,mostly anything,66,san francisco,2012-06-29,other
32,mostly anything,66,berkeley,2011-10-21,stem
32,,70,san francisco,2011-12-25,other
33,mostly anything,67,oakland,2012-06-23,other
29,mostly anything,68,san francisco,2012-06-30,other
21,mostly anything,68,moraga,2012-06-30,other
51,,70,san carlos,2012-06-28,other
21,,61,hayward,2012-06-18,other
29,mostly anything,75,oakland,2012-06-30,other
30,mostly anything,72,berkeley,2012-06-20,stem
35,anything,74,san francisco,2012-06-28,other
37,mostly anything,63,san leandro,2012-06-29,stem
23,,71,san francisco,2012-06-20,other
26,mostly vegetarian,64,oakland,2012-06-30,other
50,,72,san francisco,2011-11-08,other
29,mostly anything,72,berkeley,2012-06-25,other
23,mostly anything,63,san francisco,2012-03-13,stem
23,strictly anything,70,berkeley,2012-06-24,other
23,,67,oakland,2012-06-29,other
19,strictly anything,64,hayward,2011-10-15,other
32,strictly vegetarian,67,berkeley,2012-06-29,stem
47,mostly vegetarian,67,oakland,2011-11-13,other
30,mostly vegetarian,70,emeryville,2012-02-06,other
32,,70,oakland,2012-06-29,other
24,mostly anything,74,san francisco,2012-06-17,other
24,,74,san francisco,2012-06-30,other
24,anything,71,hayward,2012-06-11,other
24,strictly anything,70,san francisco,2012-06-28,other
47,mostly anything,70,san francisco,2012-06-29,other
32,strictly anything,72,san francisco,2012-06-30,other
27,strictly anything,75,oakland,2012-06-29,other
27,mostly vegetarian,70,san francisco,2012-04-16,other
29,,69,alameda,2012-06-29,other
29,strictly anything,71,berkeley,2012-06-29,other
26,strictly other,68,san francisco,2012-06-28,stem
26,strictly anything,73,san francisco,2012-06-29,stem
23,mostly anything,75,san francisco,2012-06-29,other
43,mostly anything,70,redwood city,2012-06-29,stem
24,strictly anything,73,alameda,2012-06-29,other
49,mostly anything,66,san francisco,2012-04-22,other
39,,72,vallejo,2011-10-04,other
29,mostly anything,62,san francisco,2012-03-15,stem
22,mostly anything,70,palo alto,2012-06-15,stem
22,mostly anything,66,san francisco,2012-06-28,other
35,anything,69,san francisco,2012-06-29,other
24,anything,73,mountain view,2012-06-28,stem
24,strictly anything,70,san rafael,2012-06-27,stem
24,mostly vegetarian,68,san mateo,2012-06-29,other
29,,62,san francisco,2012-06-02,other
29,mostly vegetarian,71,daly city,2012-05-15,other
28,strictly anything,60,san francisco,2012-06-29,other
25,,69,san francisco,2012-04-27,other
38,strictly anything,70,san francisco,2012-06-29,other
32,strictly vegetarian,73,pacifica,2012-06-27,other
23,,69,san francisco,2011-09-08,other
24,,65,oakland,2012-06-29,other
19,,74,hayward,2011-12-08,other
25,anything,74,san francisco,2012-06-29,other
29,,68,san francisco,2012-06-28,other
52,,67,oakland,2012-02-20,other
43,anything,69,pleasant hill,2012-06-27,other
20,strictly anything,67,oakland,2012-06-20,other
56,,64,novato,2012-06-12,other
31,mostly anything,68,san francisco,2012-03-28,stem
27,,70,san francisco,2012-06-28,other
26,strictly anything,64,berkeley,2012-06-14,other
40,anything,70,san francisco,2012-06-26,other
31,,73,berkeley,2012-06-22,stem
40,mostly anything,70,berkeley,2012-06-28,other
19,anything,62,berkeley,2012-06-28,other
38,,71,san francisco,2012-06-30,stem
51,,71,san francisco,2012-06-29,other
35,,70,oakland,2012-06-29,stem
35,strictly vegan,67,oakland,2012-06-29,other
34,,67,hayward,2012-06-30,stem
25,mostly vegetarian,66,san francisco,2012-06-29,other
34,mostly anything,70,daly city,2012-06-28,stem
32,,72,hayward,2012-06-30,other
33,,67,berkeley,2012-01-22,other
47,mostly other,72,san francisco,2012-04-24,other
19,mostly anything,72,san francisco,2012-06-08,other
32,anything,76,oakland,2012-06-29,other
40,mostly anything,72,san francisco,2012-06-22,other
34,mostly other,67,san francisco,2012-06-20,stem
26,,70,san francisco,2012-06-29,other
31,strictly anything,67,san francisco,2012-06-29,other
22,mostly anything,73,san francisco,2012-04-16,other
22,anything,68,martinez,2012-06-22,other
47,,60,san mateo,2012-01-21,other
43,strictly vegan,68,emeryville,2012-06-26,other
46,mostly anything,71,hayward,2011-09-04,other
26,mostly anything,65,san francisco,2012-04-24,stem
26,,77,oakland,2012-02-27,other
43,mostly anything,75,benicia,2012-06-29,other
25,mostly anything,66,san francisco,2011-08-03,other
31,,72,san mateo,2011-09-12,other
39,strictly other,68,san francisco,2012-06-29,other
35,strictly anything,59,san francisco,2012-06-28,stem
27,vegan,78,san francisco,2012-06-27,other
37,,72,san francisco,2011-11-10,other
47,mostly anything,58,pacifica,2012-06-29,other
24,,67,san francisco,2012-06-20,other
23,anything,68,hayward,2012-06-29,other
21,,64,san francisco,2011-09-21,other
41,mostly vegetarian,72,palo alto,2012-06-29,other
36,mostly anything,61,san francisco,2012-06-29,other
28,vegetarian,67,san francisco,2012-04-17,other
40,,66,san francisco,2011-09-12,other
34,,70,san francisco,2012-06-30,other
31,mostly anything,64,san francisco,2012-06-29,other
26,,66,san francisco,2012-06-29,other
26,anything,70,richmond,2012-06-29,other
24,mostly anything,65,oakland,2012-01-22,other
34,,67,oakland,2012-06-29,other
48,,69,oakland,2012-06-18,other
27,mostly anything,75,daly city,2012-06-30,other
24,,67,san francisco,2012-06-30,other
23,mostly anything,70,berkeley,2012-06-28,other
28,,69,san francisco,2012-06-26,stem
26,,68,oakland,2011-10-17,other
36,mostly anything,62,burlingame,2012-06-29,stem
28,strictly vegetarian,64,san francisco,2012-06-25,other
37,,75,san francisco,2012-06-29,other
34,strictly anything,70,san francisco,2012-06-30,other
29,anything,69,san francisco,2012-06-25,other
25,,66,san francisco,2012-06-26,other
29,,62,san francisco,2012-01-10,other
65,,69,san rafael,2012-06-29,other
33,mostly vegetarian,70,san francisco,2012-06-29,other
28,mostly vegetarian,69,san francisco,2012-06-05,other
40,mostly anything,64,vallejo,2012-05-20,other
25,,67,san francisco,2012-01-27,other
27,anything,72,san francisco,2012-03-06,other
47,,69,san leandro,2011-07-09,other
47,,64,walnut creek,2012-06-28,other
42,,63,vallejo,2012-06-30,other
20,mostly anything,68,el sobrante,2012-06-29,other
31,,70,san francisco,2012-06-28,other
18,strictly vegetarian,72,pacifica,2012-06-29,other
28,mostly anything,65,san francisco,2012-06-07,other
29,strictly anything,67,san francisco,2012-06-29,other
29,mostly anything,66,san francisco,2012-06-26,other
63,anything,68,redwood city,2012-06-27,other
33,,65,san francisco,2012-06-29,other
42,anything,68,el sobrante,2012-01-17,other
32,,70,emeryville,2011-12-12,other
56,vegetarian,65,novato,2012-06-29,other
38,strictly other,64,san rafael,2012-06-27,other
25,mostly vegetarian,65,san francisco,2012-06-19,other
25,mostly anything,62,san francisco,2012-06-29,other
24,strictly vegan,75,san francisco,2012-06-16,other
38,strictly anything,69,san francisco,2012-06-30,other
34,,70,redwood city,2012-06-26,other
32,mostly anything,74,west oakland,2012-06-28,other
23,mostly anything,64,san leandro,2012-06-21,other
39,anything,69,richmond,2012-06-30,other
36,,72,oakland,2012-04-16,stem
30,anything,70,redwood city,2012-06-12,other
31,mostly anything,65,oakland,2012-06-24,other
31,,69,walnut creek,2012-06-05,other
28,,66,oakland,2011-12-03,other
25,mostly vegetarian,70,san francisco,2012-06-28,other
18,strictly vegetarian,62,belmont,2012-06-29,other
44,strictly anything,64,oakland,2011-11-19,other
37,anything,63,emeryville,2012-06-29,stem
21,,65,san francisco,2011-07-09,other
34,mostly vegan,63,emeryville,2012-06-10,other
34,anything,72,san francisco,2011-08-30,stem
23,mostly anything,72,san rafael,2011-12-06,stem
29,mostly anything,70,san francisco,2012-06-29,other
22,strictly anything,72,san mateo,2012-05-06,other
29,mostly vegetarian,66,redwood city,2012-06-29,other
37,,72,san francisco,2011-07-25,stem
25,,62,el cerrito,2012-05-03,other
28,anything,69,san francisco,2012-06-29,other
25,,67,san mateo,2012-01-29,other
22,anything,70,san francisco,2012-06-27,other
23,strictly anything,68,oakland,2012-06-25,other
39,,71,oakland,2012-06-24,other
38,anything,74,sausalito,2012-06-29,stem
30,,71,san francisco,2012-06-29,other
60,mostly anything,69,san francisco,2012-06-29,other
22,,69,stanford,2012-04-05,stem
54,anything,69,berkeley,2012-06-28,other
34,,65,san mateo,2012-06-27,stem
43,mostly vegetarian,75,menlo park,2012-06-29,other
32,vegetarian,74,san francisco,2012-06-29,stem
29,anything,69,berkeley,2012-06-29,other
27,mostly anything,70,san francisco,2012-06-29,stem
47,,68,san francisco,2012-04-09,other
32,,66,san francisco,2012-06-29,other
29,anything,68,san francisco,2012-06-29,other
29,mostly vegetarian,74,san francisco,2012-06-30,other
27,strictly anything,72,san francisco,2012-06-29,other
28,mostly anything,67,san francisco,2012-06-29,other
29,,72,san francisco,2012-03-28,other
54,mostly anything,69,emeryville,2012-06-15,other
52,mostly anything,69,san rafael,2012-06-30,other
26,mostly anything,68,palo alto,2012-06-30,stem
27,mostly vegetarian,69,oakland,2012-06-18,stem
21,,70,san francisco,2012-04-21,other
30,,69,san francisco,2012-06-24,other
29,anything,62,oakland,2012-06-29,other
43,strictly anything,69,san francisco,2012-06-29,other
49,,68,berkeley,2012-05-06,other
25,mostly vegetarian,70,san francisco,2011-07-19,other
19,strictly other,67,berkeley,2012-06-28,other
22,strictly anything,61,san francisco,2012-06-29,other
29,,67,san francisco,2012-06-27,stem
29,mostly vegetarian,68,emeryville,2011-12-12,other
27,mostly vegetarian,70,san francisco,2012-06-29,other
26,strictly anything,76,san francisco,2012-06-29,stem
30,,73,san anselmo,2012-06-18,other
47,,65,berkeley,2011-12-28,other
54,mostly vegetarian,63,san francisco,2012-06-26,other
45,mostly vegetarian,68,redwood city,2012-06-30,other
26,strictly vegetarian,61,san francisco,2012-06-30,other
35,mostly anything,72,alameda,2012-06-30,stem
27,,62,san francisco,2012-06-29,other
33,mostly anything,68,san francisco,2012-06-28,other
29,mostly anything,69,san francisco,2011-09-05,other
31,mostly anything,71,emeryville,2012-06-29,other
22,mostly anything,70,san francisco,2012-02-11,other
42,other,70,oakland,2012-06-29,other
24,mostly vegetarian,66,san francisco,2012-06-29,other
28,mostly anything,76,oakland,2012-06-29,other
31,vegetarian,72,berkeley,2012-04-09,other
35,mostly anything,67,san francisco,2012-06-29,other
27,mostly vegetarian,68,san francisco,2012-06-19,other
23,strictly anything,70,san francisco,2012-06-26,other
39,vegan,63,san francisco,2012-05-19,other
27,anything,68,san rafael,2012-06-29,other
28,anything,36,san francisco,2012-06-30,other
26,,71,vallejo,2012-01-21,stem
36,,67,san francisco,2012-06-04,other
24,anything,70,berkeley,2011-12-15,other
27,mostly anything,70,oakland,2011-12-14,other
32,mostly anything,69,mountain view,2012-06-27,stem
19,strictly anything,64,san francisco,2012-06-19,other
41,anything,66,san francisco,2012-05-09,other
30,mostly anything,70,oakland,2012-06-27,other
26,,67,san francisco,2012-01-27,other
45,mostly anything,74,san francisco,2012-06-29,other
53,,70,san francisco,2012-06-13,other
44,,67,san francisco,2012-06-26,other
44,,69,san francisco,2012-06-29,other
57,,72,san francisco,2012-06-29,other
51,,69,vallejo,2012-06-28,other
38,,68,san francisco,2012-03-28,other
25,mostly anything,71,san francisco,2012-06-29,other
24,mostly anything,71,san francisco,2012-06-28,other
39,,62,palo alto,2012-06-07,stem
33,,71,oakland,2012-06-07,other
32,strictly anything,70,san francisco,2012-06-29,other
35,anything,65,san francisco,2012-06-27,other
25,mostly other,63,berkeley,2012-06-27,other
27,,69,oakland,2012-06-30,other
26,mostly vegetarian,71,san rafael,2012-06-07,other
22,mostly vegetarian,65,san francisco,2012-06-24,other
42,strictly other,69,san mateo,2012-06-29,other
30,mostly anything,70,san francisco,2012-06-29,other
29,mostly vegetarian,62,san francisco,2012-06-29,other
31,,72,san francisco,2012-06-30,stem
26,,70,san francisco,2012-06-28,other
42,,70,san rafael,2012-06-25,other
27,mostly anything,74,stanford,2012-06-04,other
48,mostly anything,67,kentfield,2012-06-29,other
50,mostly other,70,san rafael,2012-06-27,other
29,strictly anything,66,san francisco,2012-06-10,other
35,strictly anything,71,san francisco,2012-06-27,other
54,mostly anything,71,san francisco,2012-06-26,other
34,mostly anything,69,oakland,2012-06-28,stem
54,,64,castro valley,2012-06-29,other
34,,76,san francisco,2012-06-25,other
28,,61,san francisco,2012-06-29,other
33,strictly anything,67,novato,2012-01-31,other
50,,67,san francisco,2012-04-11,other
28,anything,72,menlo park,2012-06-30,stem
48,anything,70,menlo park,2012-06-17,stem
30,,72,san francisco,2012-06-30,stem
29,,66,berkeley,2012-06-15,stem
23,mostly anything,69,san francisco,2012-06-30,stem
24,anything,65,san francisco,2012-06-16,other
21,,74,san mateo,2012-06-29,other
46,anything,66,oakland,2012-06-17,other
42,,72,san mateo,2012-06-18,stem
28,mostly anything,75,lafayette,2011-11-13,other
37,,67,san francisco,2012-06-30,other
43,,74,san francisco,2011-07-05,other
45,anything,63,san francisco,2012-06-29,other
34,,73,san rafael,2012-06-23,other
33,,65,san francisco,2012-06-29,stem
54,mostly anything,70,san francisco,2012-06-28,other
65,,62,green brae,2012-06-29,other
30,,67,hayward,2012-06-28,other
20,anything,66,berkeley,2012-06-29,other
28,strictly anything,61,hayward,2012-05-25,other
26,,74,el cerrito,2011-12-05,stem
41,,75,san francisco,2012-06-30,other
62,mostly anything,66,novato,2012-06-18,other
38,,69,san francisco,2012-06-27,other
29,mostly anything,61,san francisco,2012-06-25,other
25,,69,san francisco,2012-06-27,other
24,,62,san mateo,2012-06-27,other
26,mostly anything,72,berkeley,2012-06-20,other
33,,63,berkeley,2012-06-29,other
64,anything,66,berkeley,2012-06-28,other
31,,64,san francisco,2012-06-29,other
28,,68,san francisco,2012-06-12,other
18,mostly vegetarian,70,berkeley,2012-06-23,other
36,,70,san francisco,2012-06-29,other
43,strictly anything,68,san francisco,2011-09-29,stem
33,,70,pleasant hill,2011-09-18,other
27,strictly other,72,el cerrito,2012-06-30,other
35,mostly anything,70,san francisco,2012-06-26,other
24,,72,san francisco,2012-06-30,other
24,strictly anything,71,san francisco,2012-06-25,other
33,mostly anything,70,san francisco,2012-06-26,stem
34,mostly anything,72,emeryville,2012-06-30,other
36,mostly anything,67,berkeley,2012-06-17,stem
37,,68,san francisco,2012-06-29,other
35,mostly anything,68,emeryville,2012-06-29,other
35,,66,san francisco,2012-06-29,other
28,anything,65,san francisco,2012-06-07,other
43,mostly anything,62,san mateo,2012-06-21,stem
38,,65,san francisco,2011-09-27,other
35,mostly anything,68,san francisco,2012-05-13,other
43,mostly anything,74,san francisco,2012-06-27,other
26,mostly anything,72,berkeley,2012-06-30,other
37,anything,67,novato,2012-05-15,stem
24,,69,san francisco,2012-04-03,other
49,,67,walnut creek,2012-06-26,other
37,,65,martinez,2012-03-06,other
28,mostly anything,68,san francisco,2012-05-13,stem
34,strictly anything,59,oakland,2012-06-28,other
26,,68,san leandro,2012-01-04,other
35,,70,san francisco,2012-06-29,stem
56,,66,san carlos,2012-05-22,other
43,,63,san francisco,2012-06-25,other
33,,69,san francisco,2012-06-30,other
34,strictly anything,71,san francisco,2012-06-29,stem
40,,69,berkeley,2012-06-29,stem
24,,68,san francisco,2012-04-17,other
54,,72,san anselmo,2012-06-29,other
36,mostly anything,66,san francisco,2012-06-29,other
26,mostly anything,69,oakland,2012-06-30,other
59,vegetarian,70,oakland,2012-06-05,other
25,mostly anything,61,san francisco,2012-06-22,other
58,,74,belmont,2012-06-16,stem
20,strictly other,71,san francisco,2012-06-19,stem
44,mostly anything,71,oakland,2012-06-30,stem
35,,72,san francisco,2012-06-29,other
38,mostly anything,69,oakland,2012-06-29,stem
44,,70,san francisco,2012-06-29,other
52,anything,65,san francisco,2012-06-18,other
45,,63,san francisco,2012-06-25,other
31,mostly vegetarian,74,walnut creek,2012-06-29,other
29,,71,hercules,2012-06-28,other
46,mostly anything,62,san francisco,2012-06-10,other
18,vegetarian,65,ross,2012-06-29,other
50,mostly anything,65,san francisco,2012-06-28,other
41,mostly anything,70,san francisco,2012-06-25,other
24,mostly anything,69,richmond,2012-05-01,other
28,,69,san francisco,2012-06-16,other
31,,71,san francisco,2012-05-19,other
32,,72,bolinas,2012-06-28,other
31,,70,oakland,2012-06-29,stem
27,,72,south san francisco,2012-04-19,other
32,anything,66,el sobrante,2012-06-27,other
30,anything,71,san francisco,2012-06-30,other
23,,65,san francisco,2012-06-30,other
23,,73,san francisco,2012-04-03,other
23,mostly anything,72,san francisco,2012-06-29,other
29,,65,oakland,2012-06-29,other
31,mostly anything,70,millbrae,2012-06-09,other
29,mostly anything,71,san mateo,2012-06-27,stem
21,,65,san francisco,2012-06-30,other
36,,72,oakland,2012-06-29,stem
30,,72,palo alto,2012-06-28,other
32,mostly anything,73,vallejo,2012-06-30,other
58,,70,san francisco,2011-08-28,other
25,strictly anything,69,oakland,2012-06-29,other
25,,73,san francisco,2012-06-25,stem
28,,63,san francisco,2011-12-06,other
52,mostly anything,71,el cerrito,2012-06-28,stem
35,,66,oakland,2012-06-28,other
37,mostly vegetarian,70,san francisco,2012-06-28,other
28,strictly anything,61,san francisco,2012-06-27,stem
28,mostly anything,65,vallejo,2012-06-29,other
23,mostly anything,70,san francisco,2012-02-21,other
27,,65,walnut creek,2012-06-29,other
23,anything,64,belmont,2012-01-26,other
22,mostly anything,64,san francisco,2012-05-26,other
26,,73,berkeley,2012-06-29,other
32,mostly anything,70,oakland,2012-06-30,stem
33,,72,san francisco,2012-06-29,other
28,,76,san francisco,2012-06-26,stem
30,anything,67,berkeley,2012-06-27,other
27,,75,san francisco,2012-06-21,other
25,anything,64,san francisco,2012-06-27,other
22,,72,vallejo,2012-05-25,other
27,,62,san francisco,2012-02-15,other
32,mostly anything,69,san francisco,2012-06-09,other
26,mostly anything,74,mill valley,2012-06-29,other
33,anything,70,san francisco,2012-06-28,other
40,strictly anything,72,san francisco,2012-06-09,other
22,,72,richmond,2011-07-15,other
22,mostly anything,70,daly city,2012-02-18,other
29,mostly anything,67,san francisco,2012-06-29,other
25,mostly vegetarian,62,oakland,2012-06-29,other
24,mostly vegetarian,65,san francisco,2012-06-29,other
57,,72,redwood city,2012-06-29,other
24,,75,san francisco,2012-06-29,other
29,anything,67,san francisco,2012-06-29,other
30,mostly anything,68,san francisco,2012-06-29,stem
20,,63,san francisco,2012-06-29,other
29,mostly anything,74,oakland,2012-06-10,other
32,mostly vegetarian,67,san francisco,2011-09-10,stem
39,mostly anything,69,walnut creek,2012-06-20,other
24,mostly anything,67,pleasant hill,2012-06-29,other
21,mostly anything,65,berkeley,2012-06-29,other
25,,68,san francisco,2012-06-25,other
26,anything,64,san francisco,2012-06-29,other
46,mostly anything,68,san francisco,2012-06-30,other
29,,67,walnut creek,2012-06-29,other
29,mostly anything,70,san francisco,2012-06-29,other
36,,70,san mateo,2012-06-27,other
31,mostly anything,67,san francisco,2012-05-22,other
38,mostly anything,62,alameda,2012-06-18,other
25,anything,72,san francisco,2012-06-26,other
35,mostly anything,70,san mateo,2011-12-03,other
27,mostly anything,71,san leandro,2012-06-29,other
26,mostly anything,66,oakland,2012-03-19,other
23,anything,66,san mateo,2012-04-04,other
28,,71,san francisco,2012-06-30,other
27,,71,san francisco,2012-06-29,other
40,,75,walnut creek,2012-06-03,other
62,,71,pleasant hill,2012-06-29,other
18,,64,oakland,2012-06-26,other
54,mostly anything,67,pacifica,2012-06-29,other
28,mostly anything,72,san francisco,2012-06-29,stem
24,,60,san francisco,2012-01-25,other
28,,71,san francisco,2012-06-17,stem
28,anything,67,walnut creek,2012-06-29,other
30,,69,san francisco,2012-06-15,other
32,mostly anything,74,oakland,2012-06-27,other
23,anything,70,berkeley,2012-06-27,other
30,,76,san francisco,2012-06-28,stem
27,anything,67,san francisco,2012-06-30,other
47,,72,san francisco,2012-06-27,other
19,mostly anything,72,san francisco,2012-06-26,other
27,mostly anything,66,oakland,2011-10-08,other
20,mostly anything,68,redwood city,2012-06-30,other
31,,69,san lorenzo,2012-06-28,other
67,,67,richmond,2012-06-19,other
64,mostly anything,71,palo alto,2012-06-30,other
50,mostly anything,72,san francisco,2012-06-30,other
32,strictly anything,70,oakland,2012-06-28,other
37,,72,san francisco,2012-06-28,other
24,,72,san leandro,2011-09-06,other
57,mostly anything,70,walnut creek,2012-06-29,other
31,mostly other,70,san francisco,2012-06-30,other
24,mostly anything,72,walnut creek,2012-06-29,other
23,mostly anything,72,san francisco,2012-06-18,other
23,mostly anything,65,hayward,2012-06-19,other
21,mostly anything,67,vallejo,2012-06-25,other
24,,66,berkeley,2012-06-22,other
36,mostly anything,71,san francisco,2012-06-21,other
24,mostly vegetarian,71,san francisco,2012-06-02,stem
47,,72,san rafael,2012-04-06,other
30,,67,pinole,2012-06-18,other
30,anything,67,hayward,2012-05-26,other
39,strictly anything,80,san francisco,2012-06-29,other
32,strictly anything,75,oakland,2012-02-20,other
30,mostly anything,67,hayward,2012-03-09,other
36,mostly anything,70,oakland,2012-06-29,other
23,,69,san francisco,2012-03-07,other
28,,69,san francisco,2012-06-22,other
68,,68,menlo park,2011-08-26,other
26,strictly anything,71,san francisco,2012-06-19,other
24,strictly anything,72,san francisco,2012-06-30,other
29,anything,69,san francisco,2012-06-29,other
63,mostly other,64,san francisco,2012-06-22,other
54,,71,san francisco,2012-06-28,other
19,mostly anything,76,novato,2012-06-29,other
33,,73,san francisco,2012-06-28,stem
30,,69,san francisco,2012-06-11,other
69,,70,lafayette,2012-06-27,other
19,anything,72,mill valley,2012-06-29,other
37,mostly anything,66,san francisco,2012-06-21,other
62,mostly anything,71,alameda,2012-06-29,other
36,mostly anything,66,san francisco,2012-06-28,stem
25,strictly anything,61,oakland,2012-04-27,other
27,,72,san francisco,2012-06-24,other
21,,70,san francisco,2012-06-29,other
44,,64,berkeley,2011-08-22,stem
28,anything,72,san francisco,2012-04-21,other
23,,65,hayward,2012-06-29,other
34,mostly vegetarian,71,san francisco,2011-09-12,other
38,vegetarian,65,san francisco,2012-06-11,other
68,mostly anything,70,novato,2012-06-26,other
49,mostly anything,66,san francisco,2012-04-03,stem
30,strictly vegetarian,65,berkeley,2012-05-06,other
31,strictly anything,61,san francisco,2012-06-30,other
28,vegan,66,oakland,2012-06-29,other
68,anything,71,san carlos,2012-06-29,other
46,,65,belmont,2012-05-07,other
23,strictly anything,65,san francisco,2012-06-19,other
23,,67,berkeley,2012-06-29,other
60,strictly anything,66,san mateo,2012-06-29,other
47,strictly anything,72,san francisco,2012-06-22,stem
44,strictly vegetarian,70,redwood city,2012-06-21,stem
27,mostly anything,72,san francisco,2012-06-29,other
47,mostly anything,66,oakland,2012-06-29,other
29,strictly anything,70,san francisco,2012-06-27,stem
44,,72,point richmond,2012-06-15,other
30,mostly anything,67,palo alto,2012-05-30,other
26,,72,emeryville,2012-02-01,stem
54,mostly other,68,san francisco,2012-06-27,other
27,,73,san francisco,2012-06-22,other
27,anything,67,oakland,2012-06-28,other
33,,68,san francisco,2012-06-26,other
36,,65,san francisco,2012-06-29,other
29,,70,san francisco,2012-06-26,other
24,strictly anything,67,oakland,2012-06-19,other
31,strictly anything,74,san francisco,2012-06-30,other
49,mostly other,63,belvedere tiburon,2012-06-28,other
26,mostly anything,65,san francisco,2012-06-28,other
23,,74,menlo park,2012-05-17,other
41,,75,hayward,2012-06-30,other
30,,72,san francisco,2012-06-29,other
50,,73,fairfax,2012-06-28,other
31,anything,71,san francisco,2012-06-03,stem
29,,69,san francisco,2012-06-15,other
29,mostly anything,70,oakland,2012-04-12,other
27,mostly anything,74,san francisco,2012-06-30,other
32,,71,san francisco,2012-03-15,other
64,mostly anything,64,san leandro,2012-06-29,other
43,mostly anything,70,san francisco,2012-06-26,other
22,mostly anything,78,san francisco,2012-06-29,other
57,mostly anything,63,menlo park,2012-04-01,other
37,,66,san francisco,2012-05-05,other
26,mostly anything,76,berkeley,2012-06-29,other
37,strictly other,68,san francisco,2012-06-17,other
43,,64,alameda,2012-06-30,other
33,anything,65,san francisco,2012-06-22,other
38,,72,oakland,2012-06-17,other
34,mostly anything,65,san francisco,2012-06-28,other
28,,64,san francisco,2012-06-19,other
29,mostly vegetarian,66,oakland,2011-09-08,other
40,,75,san francisco,2012-06-26,other
26,strictly anything,66,san francisco,2012-06-23,other
25,anything,69,san francisco,2012-06-15,other
30,strictly anything,70,san francisco,2012-04-04,other
44,anything,75,san francisco,2012-06-30,other
23,mostly anything,67,oakland,2012-06-25,other
39,mostly anything,67,sausalito,2012-06-28,other
38,,70,san francisco,2012-06-27,other
38,,69,san francisco,2012-05-03,other
38,,69,albany,2012-05-03,other
38,,69,san mateo,2012-05-22,other
38,mostly anything,69,el cerrito,2012-05-27,other
33,mostly vegetarian,62,oakland,2012-06-29,stem
26,,67,san francisco,2012-01-12,other
31,,69,walnut creek,2012-06-29,other
52,,73,san francisco,2012-06-30,other
28,,63,palo alto,2012-05-31,other
31,,70,san francisco,2012-06-04,other
22,mostly other,61,berkeley,2012-06-11,other
24,,67,benicia,2012-06-30,other
21,vegetarian,66,san francisco,2012-06-27,other
28,mostly vegetarian,61,san francisco,2012-02-02,other
19,,72,san francisco,2011-11-06,other
23,mostly anything,68,san francisco,2012-06-22,other
43,,62,san francisco,2012-04-22,other
39,,73,daly city,2012-05-10,stem
57,,72,san francisco,2012-03-07,other
28,,71,san francisco,2012-04-13,other
31,,65,san francisco,2012-06-29,stem
35,mostly anything,61,oakland,2012-06-23,other
27,strictly vegan,69,oakland,2012-06-30,other
43,mostly anything,79,oakland,2011-10-10,other
30,mostly anything,70,san francisco,2012-06-30,stem
38,mostly anything,60,san francisco,2012-06-23,other
41,mostly vegetarian,68,albany,2012-06-26,other
46,mostly anything,64,berkeley,2012-06-29,other
32,,72,san francisco,2012-06-29,other
29,strictly vegetarian,69,san francisco,2011-12-31,other
26,,68,san bruno,2012-06-26,other
29,mostly anything,72,oakland,2012-06-30,other
34,,66,san francisco,2012-04-01,other
25,mostly anything,71,san francisco,2012-05-20,other
24,,70,san francisco,2012-06-28,other
26,mostly anything,70,san francisco,2012-04-17,other
27,mostly anything,65,san francisco,2012-06-27,other
19,anything,64,san francisco,2012-06-27,other
31,,72,san francisco,2012-01-06,stem
43,,76,oakland,2012-06-30,other
62,,63,oakland,2012-06-24,other
33,anything,65,berkeley,2012-06-29,other
35,mostly anything,64,san francisco,2012-06-30,other
59,mostly anything,62,menlo park,2012-06-24,other
21,strictly anything,62,oakland,2012-06-28,other
39,,65,alameda,2012-05-18,other
23,strictly anything,63,san francisco,2012-05-25,other
33,mostly anything,76,oakland,2012-06-30,other
23,strictly anything,65,san francisco,2012-06-30,other
25,mostly vegetarian,70,oakland,2012-06-29,other
42,mostly vegetarian,62,martinez,2012-06-30,other
27,,66,emeryville,2012-06-06,other
22,mostly anything,65,san francisco,2012-06-28,other
34,other,64,san francisco,2012-06-29,other
